cell_name,cell_type,cell_type_pooled
X1772067055_A01,IFE-B,IFE-B
X1772067055_A03,IFE-DI,IFE-D
X1772067055_A04,IFE-B,IFE-B
X1772067055_A05,IFE-B,IFE-B
X1772067055_A06,IFE-B,IFE-B
X1772067055_A07,IFE-B,IFE-B
X1772067055_A09,IFE-B,IFE-B
X1772067055_B01,IFE-B,IFE-B
X1772067055_B02,IFE-B,IFE-B
X1772067055_B04,IFE-B,IFE-B
X1772067055_B07,IFE-DI,IFE-D
X1772067055_B09,IFE-B,IFE-B
X1772067055_B10,IFE-B,IFE-B
X1772067055_B11,IFE-B,IFE-B
X1772067055_B12,IFE-B,IFE-B
X1772067055_C01,IFE-B,IFE-B
X1772067055_C03,IFE-B,IFE-B
X1772067055_C06,IFE-B,IFE-B
X1772067055_C08,IFE-KII,IFE-K
X1772067055_C10,IFE-B,IFE-B
X1772067055_C12,IFE-DII,IFE-D
X1772067055_D02,IFE-B,IFE-B
X1772067055_D05,IFE-B,IFE-B
X1772067055_D06,IFE-B,IFE-B
X1772067055_D10,IFE-B,IFE-B
X1772067055_E02,IFE-B,IFE-B
X1772067055_E03,IFE-DII,IFE-D
X1772067055_E05,IFE-B,IFE-B
X1772067055_E07,IFE-DII,IFE-D
X1772067055_E09,IFE-B,IFE-B
X1772067055_E11,IFE-B,IFE-B
X1772067055_E12,IFE-B,IFE-B
X1772067055_F04,IFE-B,IFE-B
X1772067055_F06,IFE-B,IFE-B
X1772067055_F07,IFE-DII,IFE-D
X1772067055_F08,IFE-B,IFE-B
X1772067055_F12,IFE-B,IFE-B
X1772067055_G05,IFE-B,IFE-B
X1772067055_G06,IFE-B,IFE-B
X1772067055_G07,IFE-B,IFE-B
X1772067055_G08,IFE-B,IFE-B
X1772067055_G09,IFE-KI,IFE-K
X1772067055_G10,IFE-DI,IFE-D
X1772067055_G12,IFE-B,IFE-B
X1772067055_H03,IFE-B,IFE-B
X1772067055_H04,IFE-B,IFE-B
X1772067055_H05,IFE-DI,IFE-D
X1772067055_H06,IFE-B,IFE-B
X1772067055_H08,IFE-DI,IFE-D
X1772067055_H11,IFE-DI,IFE-D
X1772067055_H12,IFE-B,IFE-B
X1772067056_A10,IFE-KI,IFE-K
X1772067056_B01,IFE-KI,IFE-K
X1772067056_B06,IFE-DI,IFE-D
X1772067056_C01,IFE-KI,IFE-K
X1772067056_C04,IFE-KI,IFE-K
X1772067056_C11,IFE-DI,IFE-D
X1772067056_D06,IFE-DII,IFE-D
X1772067056_D09,IFE-DII,IFE-D
X1772067056_D10,IFE-DII,IFE-D
X1772067056_E02,IFE-KI,IFE-K
X1772067056_E03,IFE-KI,IFE-K
X1772067056_E05,IFE-B,IFE-B
X1772067056_E07,IFE-KI,IFE-K
X1772067056_F01,IFE-KI,IFE-K
